id,level,topic,title,issuer,document_number,published_date,effective_date,expiry_date,status,evidence_grade,official_page_url,official_file_url,local_path,sha256,accessed_at,needs_ocr,relation,notes
NAT-REG-001,国家,行政法规/综合,住房公积金管理条例,国务院,国务院令第350号,2002-03-24,2002-03-24,,待核验（2002年修订文本；后续修改链尚未补齐）,A,https://www.gov.cn/gongbao/content/2002/content_61418.htm,,,,2026-08-02,否,1999年条例经国务院令第350号修改并在该公报页附修订全文；后续修改关系待补链,国务院公报2002年第13号完整正文；不能据此页单独断言其为当前未再修改文本
NAT-FIN-001,国家,财务监督/风险,财政部关于加强住房公积金财政监督管理的通知,财政部,财综〔2005〕52号,2005-12-06,,,效力状态待核验,A,http://zhs.mof.gov.cn/zhengcefabu/200805/t20080523_34305.htm,,,,2026-08-02,否,引用财综字〔1999〕59号、财会字〔1999〕33号并明确省级财政部门按政策审核批准核销呆账,财政部页面有完整正文；页面归档发布日期为2008-05-23，正文落款日期为2005-12-06；现行效力未见页面标注
NAT-FIN-002,国家,财务会计/风险准备金,财政部关于四川省省级住房公积金管理中心购买办公用房资金问题的批复,财政部,财综〔2007〕22号,2007-03-15,,,效力状态待核验,A,http://zhs.mof.gov.cn/zhengcefabu/200805/t20080523_34032.htm,,,,2026-08-02,否,官方正文明确引用财综〔2006〕10号并说明贷款风险准备金专项用于核销住房公积金呆账,财政部页面有完整正文；批复对象和事实具有个案性，不得直接扩张为一般办理规则；页面归档发布日期为2008-05-23
NAT-BADDEBT-001,国家,呆账核销,住房公积金呆账核销管理暂行办法,财政部,财综〔2006〕10号,2006-01-27,2006-01-27,,未发现废止依据（待财政部规范性文件清理目录终核）,A,https://zfgjj.luan.gov.cn/gjjfw/zcfg/qszcwj/4033641.html,,sources/national/2006-caizong-10-baddebt-luan-official.html,06c65627a2b69d1781e97ba5c0fe6eeeba106b0a6a83b4cea34344bcd80ad653,2026-08-02,否,完整官方转载含财综〔2006〕10号通知及办法第一至六章共28条；第二十八条规定自发布之日起实施,六安市住房公积金管理中心政府官网提供HTML全文；发布机关原站页面仍待追查；不得将账务核销解释为债权当然消灭
QD-META-001,青岛,规范性文件/效力清理,青岛市住房公积金管理中心行政规范性文件清理情况,青岛市住房公积金管理中心,,2026-01-06,,,2025年度清理结果（截至发布时）,A,http://www.qdgjj.com/zcfg_108/gfxwj_108/202601/t20260107_10437470.shtml,,sources/qingdao/2026-normative-document-cleanup.html,46f92901ab925cdf9ef644f07c32c963bec7e55c20e4b5bf51e8a2633b6471d7,2026-08-02,否,列明2025年失效4件、现行有效5件,落款2026-01-06；网页发布时间2026-01-07；该目录是截至发布时的效力快照，不能替代之后逐件复核
QD-DEP-001,青岛,缴存/转移,青岛市住房公积金管理中心关于印发《青岛市住房公积金缴存管理办法》的通知,青岛市住房公积金管理中心,青住金规〔2024〕1号,2024-04-26,2024-06-01,2029-05-31,现行有效（2026年度清理目录确认）,A,http://www.qdgjj.com/zcfg_108/gfxwj_108/gjl_108/202206/t20220607_6102089.shtml,,sources/qingdao/2024-qingzhujingui-1-deposit.html,e00ba4f6169851ac5374dee674aba59ec9357c9eb692406c4460bab78bd2b60d,2026-08-02,否,2026-01公布的现行有效目录列入；办法第四十二条载明施行和到期日,完整HTML正文共42条；具体缴存基数和上下限仍须查当年度通知
QD-WITH-001,青岛,提取,青岛市住房公积金管理中心关于印发《青岛市住房公积金提取管理办法》的通知,青岛市住房公积金管理中心,青住金规〔2023〕1号,2023-08-14,2023-09-14,2026-09-14,现行有效（2026年度清理目录确认；临近到期）,A,http://www.qdgjj.com/zcfg_108/gfxwj_108/gjl_108/202308/t20230816_7412581.shtml,,sources/qingdao/2023-qingzhujingui-1-withdrawal.html,f95df8cf9e9fa150bd576c4ad7a23a922acf024ef1cb1861e89472fdb0ced8f5,2026-08-02,否,废止青住金规〔2022〕3号；2026-01公布的现行有效目录列入,完整HTML正文共48条；2026-09-14之后适用时必须复核续期或替代文件；后续专项优化通知可能调整具体口径
QD-LOAN-001,青岛,贷款,青岛市住房公积金管理中心关于印发《青岛市个人住房公积金贷款管理办法》的通知,青岛市住房公积金管理中心,青住金规〔2025〕1号,2025-04-07,2025-05-09,2030-05-08,现行有效（2026年度清理目录确认）,A,http://www.qdgjj.com/zcfg_108/gfxwj_108/dkl_108/202504/t20250407_9256545.shtml,,sources/qingdao/2025-qingzhujingui-1-loan.html,597043377ab4f6e376a91302fd7cc7ca4304ff51a91ae3477490ecb8b1da205b,2026-08-02,否,接续已于2025-05-08到期的青住金规〔2020〕1号；2026-01公布的现行有效目录列入,完整HTML正文共42条；额度、上浮比例、首付比例和缴存认定等参数须结合后续管委会批准文件
QD-ENF-001,青岛,行政执法/程序,青岛市住房公积金管理中心关于印发《青岛市住房公积金管理中心行政执法程序规定》的通知,青岛市住房公积金管理中心,青住金规〔2022〕1号,2022-09-30,2022-11-01,2027-10-31,现行有效（2026年度清理目录确认）,A,http://www.qdgjj.com/zcfg_108/gfxwj_108/zfl_108/202209/t20220930_6421328.shtml,,sources/qingdao/2022-qingzhujingui-1-enforcement-procedure.html,180a8bb6aecb4640206539845be386415890f59614e346b26a85eb08cd973250,2026-08-02,否,废止2019-11-28公布的同名规定；2026-01公布的现行有效目录列入,完整HTML正文共72条；规定执法受理、调查、决定、执行与救济流程
QD-ENF-002,青岛,行政执法/裁量,青岛市住房公积金管理中心关于印发《青岛市住房公积金行政处罚裁量基准》的通知,青岛市住房公积金管理中心,青住金规〔2024〕2号,2024-07-01,2024-08-01,2029-07-31,现行有效（2026年度清理目录确认）,A,http://www.qdgjj.com/zcfg_108/gfxwj_108/zfl_108/202407/t20240702_8110214.shtml,,sources/qingdao/2024-qingzhujingui-2-penalty-discretion.html,2b5e30d9a04e98a5536766119c0d92108bfad00774e653efc3090e98a8f8eca2,2026-08-02,否,废止2022-09-30公布的同名裁量基准；2026-01公布的现行有效目录列入,完整HTML正文；覆盖未办理缴存登记和未设职工账户的裁量阶次及不予处罚情形
